day,inc_case_mean,inc_case_var,inc_death_mean,inc_death_var,inc_death_hospital_mean,inc_death_hospital_var,age_0_S_mean,age_0_S_var,age_0_E_mean,age_0_E_var,age_0_H_mean,age_0_H_var,age_0_R_mean,age_0_R_var,age_0_D_mean,age_0_D_var,age_0_I_mean,age_0_I_var,age_0_IS_mean,age_0_IS_var,age_1_S_mean,age_1_S_var,age_1_E_mean,age_1_E_var,age_1_H_mean,age_1_H_var,age_1_R_mean,age_1_R_var,age_1_D_mean,age_1_D_var,age_1_I_mean,age_1_I_var,age_1_IS_mean,age_1_IS_var,age_2_S_mean,age_2_S_var,age_2_E_mean,age_2_E_var,age_2_H_mean,age_2_H_var,age_2_R_mean,age_2_R_var,age_2_D_mean,age_2_D_var,age_2_I_mean,age_2_I_var,age_2_IS_mean,age_2_IS_var,age_3_S_mean,age_3_S_var,age_3_E_mean,age_3_E_var,age_3_H_mean,age_3_H_var,age_3_R_mean,age_3_R_var,age_3_D_mean,age_3_D_var,age_3_I_mean,age_3_I_var,age_3_IS_mean,age_3_IS_var,age_4_S_mean,age_4_S_var,age_4_E_mean,age_4_E_var,age_4_H_mean,age_4_H_var,age_4_R_mean,age_4_R_var,age_4_D_mean,age_4_D_var,age_4_I_mean,age_4_I_var,age_4_IS_mean,age_4_IS_var,age_5_S_mean,age_5_S_var,age_5_E_mean,age_5_E_var,age_5_H_mean,age_5_H_var,age_5_R_mean,age_5_R_var,age_5_D_mean,age_5_D_var,age_5_I_mean,age_5_I_var,age_5_IS_mean,age_5_IS_var,age_6_S_mean,age_6_S_var,age_6_E_mean,age_6_E_var,age_6_H_mean,age_6_H_var,age_6_R_mean,age_6_R_var,age_6_D_mean,age_6_D_var,age_6_I_mean,age_6_I_var,age_6_IS_mean,age_6_IS_var,age_7_S_mean,age_7_S_var,age_7_E_mean,age_7_E_var,age_7_H_mean,age_7_H_var,age_7_R_mean,age_7_R_var,age_7_D_mean,age_7_D_var,age_7_I_mean,age_7_I_var,age_7_IS_mean,age_7_IS_var
0,0.0,0.0,0.0,0.0,0.0,0.0,1265822.719,915.3313703694237,729.182,780.0028788788784,0.0,0.0,0.0,0.0,0.0,0.0,44.361,45.26194094094093,0.0,0.0,637816.85,472.7402402399358,366.65,397.5450450450442,0.0,0.0,0.0,0.0,0.0,0.0,65.425,74.32069569569568,0.0,0.0,664961.37,504.62972973043736,382.994,422.13209609609527,0.0,0.0,0.0,0.0,0.0,0.0,68.176,81.50052452452448,0.0,0.0,809535.933,551.4059169170012,465.477,486.68415515515414,0.0,0.0,0.0,0.0,0.0,0.0,82.954,92.6185025025025,0.0,0.0,710145.366,515.7297737745286,409.489,456.5984774774772,0.0,0.0,0.0,0.0,0.0,0.0,72.894,84.39115515515503,0.0,0.0,600619.668,441.9156916923845,345.635,356.6684434434433,0.0,0.0,0.0,0.0,0.0,0.0,61.594,67.84701101101105,0.0,0.0,632186.292,480.1148508506467,365.042,402.67891491491514,0.0,0.0,0.0,0.0,0.0,0.0,65.071,72.13809709709713,0.0,0.0,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1264684.725,2316.882257256138,1504.037,1614.4981291291301,0.0,0.0,3.624,3.858482482482487,0.0,0.0,120.002,127.98197797797823,12.724,13.004828828828838,637223.995,1270.7477227229326,778.44,876.5429429429429,0.0,0.0,5.173,5.088159159159166,0.0,0.0,176.03,187.7888888888887,2.819,3.1413803803803813,664351.9,1202.132132132034,801.681,858.7479869869885,0.0,0.0,5.491,5.495414414414417,0.0,0.0,184.962,194.7112672672676,2.967,3.0609719719719717,808788.701,1459.519118118588,981.261,1088.3091881881876,0.0,0.0,6.646,7.239923923923925,0.0,0.0,223.94,251.5779779779779,3.801,4.203602602602606,709508.727,1321.2216926932963,842.548,988.6683643643642,0.0,0.0,5.916,6.313257257257251,0.0,0.0,197.266,224.29954354354322,3.27,3.7548548548548526,600123.0,977.6876876875426,670.943,698.514265265266,0.0,0.0,4.868,5.137713713713711,0.0,0.0,166.44,183.29769769769766,2.786,2.951155155155157,631668.267,1011.8255365358706,701.378,733.4665825825831,0.0,0.0,5.269,6.080719719719733,0.0,0.0,175.805,192.42740240240235,2.852,3.2713673673673727,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1263193.379,4660.019378377613,2464.756,2920.0545185185183,0.0,0.0,13.367,14.985296296296307,0.0,0.0,226.349,243.82902802802778,46.607,59.91921421421415,636419.047,2497.039830832378,1310.793,1567.4195705705633,0.0,0.0,19.357,21.230781781781758,0.0,0.0,336.188,354.286942942943,10.751,12.475510510510501,663535.491,2378.532451451301,1336.611,1553.204883883887,0.0,0.0,20.382,21.45953553553553,0.0,0.0,349.861,375.84952852852734,11.176,12.505105105105107,807782.024,2958.255679682573,1644.202,1944.818014014014,0.0,0.0,24.852,26.54063663663665,0.0,0.0,425.611,497.40108008008025,13.937,16.049824824824807,708681.488,2449.9898458459697,1372.624,1764.3489729729722,0.0,0.0,21.884,24.010554554554552,0.0,0.0,371.192,382.5236596596591,12.04,14.456368368368375,599530.114,1730.7817857860439,1020.902,1112.7731691691697,0.0,0.0,17.993,18.419370370370356,0.0,0.0,308.584,340.8497937937942,10.366999999999999,11.96331831831832,631064.087,1764.7942252274368,1050.911,1096.5035825825828,0.0,0.0,19.452,22.436132132132155,0.0,0.0,324.489,359.369248248248,10.578999999999999,12.744499499499486,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1261207.914,9357.734338339773,3708.781,5089.44448348348,0.0,0.0,31.507,36.1360870870871,0.0,0.0,370.716,394.04739139139167,110.31,160.9093593593593,635313.758,4508.235671669867,2028.005,2648.6456206206176,0.0,0.0,46.223,47.735006006005975,0.0,0.0,557.367,592.791102102102,25.692,33.42677277277278,662427.557,4372.7975485500365,2045.91,2693.4813813813753,0.0,0.0,48.444,52.054918918918936,0.0,0.0,576.766,591.3385825825826,26.625,36.53495395395397,806410.355,5436.189164164632,2526.645,3229.978953953951,0.0,0.0,58.851,64.46726626626621,0.0,0.0,704.73,873.1842842842833,33.216,42.16644644644641,707579.737,3942.7625935926526,2059.965,2508.5403153153115,0.0,0.0,51.368,56.81739339339333,0.0,0.0,606.578,646.8627787787796,28.595000000000002,37.36022122122123,598803.873,2645.8066776757996,1428.197,1639.4336246246244,0.0,0.0,42.514,46.68849249249258,0.0,0.0,488.09,523.090990990991,23.921,31.161688688688695,630335.686,2687.5169209212813,1449.243,1621.0129639639642,0.0,0.0,45.193,51.39314414414419,0.0,0.0,509.495,559.5755505505497,25.137999999999998,33.00164564564561,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1258548.059,17821.29481382939,5357.67,8900.039139139137,0.0,0.0,61.249,64.7697687687688,0.0,0.0,561.629,606.5378968968972,214.356,370.98504504504496,633795.93,8353.959059060118,3001.148,4925.111207207219,0.0,0.0,90.982,99.27695295295311,0.0,0.0,861.264,959.0093133133129,50.415,76.53112412412408,660920.405,7549.184159156891,3000.801,4301.695094094093,0.0,0.0,94.678,104.12243843843828,0.0,0.0,883.835,1026.3981731731733,52.264,83.93679679679676,804536.001,9886.873872876333,3719.933,5813.592103103095,0.0,0.0,114.904,131.35413813813807,0.0,0.0,1084.452,1342.2819779779772,64.509,95.08003703703702,706108.464,6700.639343342642,2967.322,3907.9943103103137,0.0,0.0,99.752,105.51200800800802,0.0,0.0,918.815,999.1639389389393,55.817,81.73464764764763,597898.699,4048.6710700663502,1925.832,2356.762538538541,0.0,0.0,81.673,89.35142242242229,0.0,0.0,709.055,807.6916666666671,45.66,65.9757577577577,629443.378,4063.880996996003,1924.839,2424.311390390388,0.0,0.0,86.092,99.52506106106107,0.0,0.0,735.503,774.9229139139151,47.738,72.04181981981982,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1254989.726,31757.966890887103,7542.785,14839.10187687691,0.472,0.5597757757757765,109.09,116.04994994994983,0.0,0.0,817.254,908.1676516516534,369.96000000000004,666.7488788788789,631721.597,14559.958549547573,4318.836,7925.764868868847,0.044,0.04611011011011011,161.044,168.9049689689691,0.0,0.0,1276.128,1543.7553713713698,88.32000000000001,150.93067667667663,658875.517,13048.103814812104,4283.959,6704.24156056054,0.046,0.05393793793793791,165.745,171.65563063063033,0.0,0.0,1300.594,1650.3715355355348,91.232,150.71628428428428,801988.34,17589.878278283686,5325.614,9640.50951351351,0.054,0.053137137137137115,202.411,233.43551451451438,0.0,0.0,1600.83,1883.0961961961978,111.876,184.77679079079067,704142.984,10912.376120122983,4171.443,6254.765516516515,0.079,0.08684584584584568,173.641,181.71183083083068,0.0,0.0,1331.981,1502.4570960960975,95.988,155.5507087087088,596757.004,5980.43241641765,2551.749,3303.0370360360357,0.093,0.09844944944944936,138.608,151.81014614614602,0.0,0.0,982.316,1119.7478918918916,76.654,125.64175975975988,628340.023,5557.6160870874755,2506.417,3080.547658658658,0.126,0.15427827827827817,145.379,166.2516106106105,0.0,0.0,1010.301,1107.8662652652652,80.186,132.1212352352353,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.914,1.041645645645645,0.0,0.0,0.0,0.0,1250229.059,55506.51203104379,10456.513,24881.39322422432,2.536,2.831535535535538,187.538,230.64119719719713,0.001,0.0010000000000000013,1156.705,1317.3853603603588,586.495,1140.3837527527523,628904.582,24998.221497502447,6091.721,12565.654813813755,0.348,0.3812772772772771,265.568,288.8221981981983,0.001,0.001,1842.079,2408.9336926926926,142.64999999999998,258.3132852852853,656115.221,22560.12027927326,6003.284,11537.715059059017,0.366,0.4084524524524527,272.945,323.5415165165168,0.0,0.0,1861.265,2368.4392142142115,145.935,272.77757657657645,798537.99,31324.944844838086,7485.046,16271.491375375344,0.443,0.5172682682682684,333.403,398.1527437437438,0.0,0.0,2298.69,2968.2941941941954,179.44699999999997,347.46697397397395,701521.379,18494.84620521068,5769.932,9850.335711711712,0.477,0.5340050050050049,283.05,308.2017017017018,0.001,0.0010000000000000005,1879.406,2211.6588228228243,152.425,266.44953053053047,595302.107,8508.52007106909,3353.192,4470.633769769786,0.611,0.7344134134134135,219.474,243.99531931931935,0.004,0.00398798798798799,1321.646,1633.4761601601645,117.965,211.74164664664661,626960.491,7841.785704700879,3238.934,4266.327971971974,0.946,1.240324324324322,228.533,271.6605715715716,0.002,0.001997997997997997,1343.162,1433.853609609612,122.35799999999999,224.79263863863858,113065.496,972.5385225225347,27.504,972.5385225225225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,4.915,5.9016766766766615,0.009,0.008927927927927915,0.009,0.008927927927927915,1243880.582,95351.6809569659,14325.101,41752.73953853855,7.202,8.16335935935936,309.678,384.8451611611606,0.001,0.0010000000000000013,1607.555,1881.4304054054057,878.633,1789.8812642642642,625090.66,42559.55395395579,8475.222,19643.874590590563,1.232,1.3415175175175167,420.345,462.9329079079079,0.002,0.0019979979979979985,2609.287,3802.991622622613,216.93400000000003,429.8027527527523,652397.214,37699.51371772725,8306.609,17816.963082082006,1.239,1.40128028028028,428.447,473.50269369369374,0.002,0.0019979979979979994,2616.76,3666.903303303306,221.15200000000002,409.8144704704708,793882.981,53938.39303203262,10379.096,24976.461245245253,1.52,1.6492492492492477,525.799,641.1857847847853,0.0,0.0,3241.262,4884.109465465469,272.067,538.9751341341346,698017.75,30937.519019023883,7902.644,15835.985249249212,1.442,1.590226226226227,440.364,504.10761161161264,0.007,0.006957957957957965,2605.713,3285.023654654651,227.97400000000002,444.57194994994995,593431.936,13581.243147151628,4397.321,7029.263222222223,1.976,2.397821821821823,330.582,367.98526126126166,0.013,0.012843843843843848,1744.202,2021.0202162162163,169.482,328.5540040040042,625216.537,11513.153784779704,4177.352,6204.3964924924685,3.021,4.238797797797799,341.828,395.8642802802802,0.042,0.042278278278278326,1750.9,1920.5545545545574,174.968,341.0250910910911,112893.199,8918.788187187196,193.846,8191.493777777779,0.0,0.0,0.0,0.0,0.0,0.0,3.792,22.96970570570572,0.0,0.0
8,12.453,14.590381381381384,0.058,0.058694694694694724,0.057,0.0578088088088089,1235418.943,167244.77452550063,19463.508,70182.41835435425,15.492,18.962898898898924,492.56,634.2586586586579,0.011,0.016895895895895914,2205.973,2743.9482192192077,1269.849,2713.1989659659653,619952.314,74467.90931330361,11664.683,33624.90741841831,2.792,3.209945945945946,641.6,737.5655655655651,0.006,0.005969969969969973,3647.407,5738.561912912926,318.534,633.2916976976983,647412.909,64758.71143043357,11371.063,29077.386417417456,2.916,3.4363803803803776,650.81,764.4943943943929,0.003,0.002993993993993991,3636.384,5265.051595595605,322.202,644.9577717717716,787626.158,95621.61865464594,14242.884,42899.59614014026,3.256,3.4439079079079016,802.874,986.034158158159,0.006,0.00596996996996997,4513.178,7249.702018017997,397.732,791.5103983983992,693344.91,53073.28718718535,10738.286,25553.571775775803,3.361,3.880559559559565,663.619,808.0378768768753,0.019,0.02065965965965967,3572.084,5156.777721721717,327.744,677.5079179179181,591021.083,20040.248359346177,5751.712,9876.371427427446,4.442,5.456092092092091,480.954,528.1079919919932,0.057,0.055806806806806816,2279.972,2772.0332492492457,233.469,459.81431331331345,622999.695,16738.009984984306,5381.813,8527.86389489488,6.876,9.434058058058072,492.009,612.2491681681674,0.165,0.1659409409409412,2257.775,2441.5939689689812,238.742,483.48136336336324,112363.053,39617.998189189566,682.179,32803.62858758756,0.0,0.0,0.292,0.4191551551551546,0.0,0.0,30.46,255.79419419419386,0.166,0.21666066066066073
9,23.231,28.460099099099114,0.2,0.20220220220220222,0.19,0.1920920920920923,1224167.356,287601.54280684085,26265.258,116031.8092452453,28.332,33.32910510510507,757.027,1085.3616326326342,0.018,0.02369969969969967,3002.905,4089.909884884891,1791.749,3845.416915915913,613055.635,127190.04381880652,15917.055,54655.38135635645,5.288,5.3444004004004055,954.32,1145.6172172172164,0.01,0.00990990990990991,5048.858,9329.237073073073,455.864,929.1744864864859,640739.309,107937.31683582153,15460.875,45502.53390890891,5.576,5.804028028028022,965.021,1184.9915505505508,0.009,0.008927927927927931,4997.643,8331.45100200199,459.527,919.5133703703718,779251.452,163268.83052650586,19385.148,70594.5286246248,6.015,6.287062062062068,1192.633,1501.696007007006,0.018,0.0176936936936937,6219.08,11113.09869869871,567.106,1153.786332332332,687126.079,92844.97173072239,14504.177,43975.497168168484,6.304,6.7603443443443405,973.009,1154.837756756757,0.041,0.041360360360360365,4854.498,7499.8398358358245,460.59,931.0749009009004,587881.128,30798.79240839034,7540.401,14715.337536536563,8.072,9.840656656656654,679.869,763.9457847847848,0.154,0.15844244244244232,2962.55,3825.17067067066,314.438,656.8968788788786,620158.292,24066.63737337722,6948.453,11694.604395395416,12.736,16.0003043043043,688.81,855.1070070070066,0.472,0.501717717717718,2891.988,3443.4172732732977,317.84000000000003,667.8575195195192,111190.837,118385.27170270233,1705.27,88382.1812812812,0.0,0.0,2.721,5.0442032032032,0.0,0.0,123.362,1492.5154714714702,1.495,2.10571271271271
