day,inc_case_mean,inc_case_var,inc_death_mean,inc_death_var,inc_death_hospital_mean,inc_death_hospital_var,age_0_S_mean,age_0_S_var,age_0_E_mean,age_0_E_var,age_0_H_mean,age_0_H_var,age_0_R_mean,age_0_R_var,age_0_D_mean,age_0_D_var,age_0_I_mean,age_0_I_var,age_0_IS_mean,age_0_IS_var,age_1_S_mean,age_1_S_var,age_1_E_mean,age_1_E_var,age_1_H_mean,age_1_H_var,age_1_R_mean,age_1_R_var,age_1_D_mean,age_1_D_var,age_1_I_mean,age_1_I_var,age_1_IS_mean,age_1_IS_var,age_2_S_mean,age_2_S_var,age_2_E_mean,age_2_E_var,age_2_H_mean,age_2_H_var,age_2_R_mean,age_2_R_var,age_2_D_mean,age_2_D_var,age_2_I_mean,age_2_I_var,age_2_IS_mean,age_2_IS_var,age_3_S_mean,age_3_S_var,age_3_E_mean,age_3_E_var,age_3_H_mean,age_3_H_var,age_3_R_mean,age_3_R_var,age_3_D_mean,age_3_D_var,age_3_I_mean,age_3_I_var,age_3_IS_mean,age_3_IS_var,age_4_S_mean,age_4_S_var,age_4_E_mean,age_4_E_var,age_4_H_mean,age_4_H_var,age_4_R_mean,age_4_R_var,age_4_D_mean,age_4_D_var,age_4_I_mean,age_4_I_var,age_4_IS_mean,age_4_IS_var,age_5_S_mean,age_5_S_var,age_5_E_mean,age_5_E_var,age_5_H_mean,age_5_H_var,age_5_R_mean,age_5_R_var,age_5_D_mean,age_5_D_var,age_5_I_mean,age_5_I_var,age_5_IS_mean,age_5_IS_var,age_6_S_mean,age_6_S_var,age_6_E_mean,age_6_E_var,age_6_H_mean,age_6_H_var,age_6_R_mean,age_6_R_var,age_6_D_mean,age_6_D_var,age_6_I_mean,age_6_I_var,age_6_IS_mean,age_6_IS_var,age_7_S_mean,age_7_S_var,age_7_E_mean,age_7_E_var,age_7_H_mean,age_7_H_var,age_7_R_mean,age_7_R_var,age_7_D_mean,age_7_D_var,age_7_I_mean,age_7_I_var,age_7_IS_mean,age_7_IS_var
0,0.0,0.0,0.0,0.0,0.0,0.0,1266743.091,12.607326326316171,11.424,11.39762162162161,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.02629729729729729,0.0,0.0,638279.418,6.629905906192506,5.838,6.057813813813818,0.0,0.0,0.0,0.0,0.0,0.0,0.157,0.1625135135135134,0.0,0.0,665444.158,6.56159759763022,6.012,5.879735735735731,0.0,0.0,0.0,0.0,0.0,0.0,0.182,0.17905505505505512,0.0,0.0,810122.829,8.336095095016276,7.259,7.621540540540534,0.0,0.0,0.0,0.0,0.0,0.0,0.195,0.18716216216216192,0.0,0.0,710661.628,7.487103103162511,6.502,6.746742742742747,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.16858458458458445,0.0,0.0,601055.849,6.334533533578905,5.467,5.650561561561565,0.0,0.0,0.0,0.0,0.0,0.0,0.153,0.15374474474474475,0.0,0.0,632646.597,6.545136136116371,5.66,5.7241241241241125,0.0,0.0,0.0,0.0,0.0,0.0,0.161,0.16724624624624618,0.0,0.0,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1266728.495,27.987962962800314,23.345,23.57755255255256,0.0,0.0,0.0,0.0,0.0,0.0,0.078,0.08199799799799805,0.09,0.09399399399399389,638271.936,15.06296696698693,11.946,12.055139139139145,0.0,0.0,0.005,0.004979979979979984,0.0,0.0,0.454,0.4723563563563561,0.033,0.03394494494494491,665436.238,16.161517517310376,12.538,13.001557557557566,0.0,0.0,0.006,0.005969969969969965,0.0,0.0,0.463,0.4610920920920922,0.039,0.03951851851851848,810113.387,19.47670770765952,15.063,16.59362462462464,0.0,0.0,0.013,0.012843843843843843,0.0,0.0,0.5,0.4404404404404405,0.037,0.03766866866866875,710653.441,16.593112112038032,13.175,13.774149149149155,0.0,0.0,0.009,0.008927927927927922,0.0,0.0,0.48,0.4760760760760762,0.04,0.04444444444444441,601049.266,12.493737737838797,10.695,10.560535535535527,0.0,0.0,0.003,0.00299399399399399,0.0,0.0,0.424,0.4226466466466471,0.027,0.0303013013013013,632639.609,13.749868868828317,11.303,11.418609609609597,0.0,0.0,0.006,0.005969969969969969,0.0,0.0,0.418,0.46373973973973986,0.022,0.021537537537537524,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1266710.969,52.30834734750851,36.805,40.06504004003999,0.0,0.0,0.003,0.002993993993993998,0.0,0.0,0.155,0.14712212212212195,0.293,0.3225975975975979,638262.44,29.295695695666954,19.281,22.02406306306305,0.0,0.0,0.016,0.01776176176176176,0.0,0.0,0.88,0.9085085085085083,0.13,0.13468468468468456,665426.442,28.711347347220894,20.167,21.634745745745757,0.0,0.0,0.021,0.02057957957957961,0.0,0.0,0.934,0.9545985985985984,0.127,0.1307417417417416,810101.488,36.57242842844273,24.37,29.290390390390392,0.0,0.0,0.028,0.02924524524524524,0.0,0.0,1.046,0.9087927927927929,0.146,0.1538778778778777,710643.185,30.719494494789796,21.213,24.029660660660607,0.0,0.0,0.024,0.02344744744744744,0.0,0.0,0.929,0.8888478478478475,0.147,0.16063163163163158,601041.685,20.79056556562363,16.333,16.27038138138138,0.0,0.0,0.02,0.01961961961961964,0.0,0.0,0.837,0.805236236236236,0.124,0.13803203203203196,632631.842,22.317353353312345,17.132,17.662238238238235,0.0,0.0,0.027,0.030301301301301254,0.0,0.0,0.763,0.7155465465465461,0.09899999999999999,0.10323823823823826,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1266688.993,95.20215315331473,53.191,66.44696596596602,0.0,0.0,0.01,0.009909909909909897,0.0,0.0,0.263,0.2540850850850849,0.7030000000000001,0.7681071071071071,638249.761,54.43631531520275,29.098,37.86626226226229,0.0,0.0,0.052,0.061357357357357374,0.0,0.0,1.415,1.4462212212212222,0.314,0.3389649649649652,665413.805,50.01498998968657,29.751,34.14914814814815,0.0,0.0,0.046,0.04592992992993003,0.0,0.0,1.543,1.5957467467467465,0.28900000000000003,0.30718618618618587,810085.692,65.35248848881903,36.522,47.27479079079071,0.0,0.0,0.068,0.0674434434434434,0.0,0.0,1.788,1.6627187187187176,0.35000000000000003,0.35647047047047065,710630.399,50.8546536534836,30.769,38.045684684684694,0.0,0.0,0.048,0.04974574574574585,0.0,0.0,1.567,1.4289399399399376,0.328,0.3371751751751748,601032.771,33.339898898993816,22.695,25.173148148148154,0.0,0.0,0.051,0.05044944944944949,0.0,0.0,1.365,1.3511261261261247,0.269,0.2840230230230236,632622.851,32.515314314384874,23.5,24.168168168168137,0.0,0.0,0.052,0.055351351351351316,0.0,0.0,1.251,1.2552542542542555,0.292,0.3083543543543542,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1266660.561,160.3786576564569,74.248,98.54103703703704,0.0,0.0,0.021,0.02057957957957958,0.0,0.0,0.383,0.36667767767767695,1.364,1.4868648648648635,638232.96,95.96636636624011,42.003,64.41941041041038,0.0,0.0,0.115,0.127902902902903,0.0,0.0,2.18,2.221821821821821,0.5730000000000001,0.6346636636636636,665397.035,89.85763263238663,42.441,59.56808708708711,0.0,0.0,0.1,0.10410410410410413,0.0,0.0,2.354,2.3950790790790797,0.5720000000000001,0.5687387387387387,810064.747,114.25124224219155,52.442,76.72736336336318,0.0,0.0,0.132,0.1347107107107106,0.0,0.0,2.758,2.5660020020019996,0.6890000000000001,0.7133063063063059,710613.636,81.53704104091187,43.382,58.324400400400364,0.0,0.0,0.099,0.10130030030030025,0.0,0.0,2.369,2.347186186186186,0.632,0.6565865865865862,601021.839,47.29437337349849,30.377,33.68255355355357,0.0,0.0,0.1,0.10010010010010004,0.0,0.0,1.987,1.9607917917917916,0.503,0.5373543543543547,632612.042,47.99823423398224,30.966,33.648492492492494,0.0,0.0,0.092,0.09362962962962973,0.0,0.0,1.874,2.0401641641641644,0.536,0.5841641641641651,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1266624.053,279.3335245262217,101.055,167.2732482482482,0.0,0.0,0.039,0.0375165165165165,0.0,0.0,0.548,0.5802762762762769,2.439,2.6158308308308276,638209.989,159.47235135123935,59.471,102.00116016016018,0.0,0.0,0.185,0.21498998998998983,0.0,0.0,3.246,3.440924924924925,0.987,1.0217567567567565,665374.315,152.0578328331182,59.72,97.25085085085081,0.001,0.0010000000000000005,0.201,0.2088078078078077,0.0,0.0,3.363,3.460691691691693,0.973,1.015194194194194,810036.41,198.5904904897179,74.138,129.8027587587585,0.0,0.0,0.235,0.24602102102102125,0.0,0.0,4.033,4.232143143143143,1.21,1.318328328328328,710591.3,130.046046045506,60.119,89.68252152152154,0.0,0.0,0.197,0.20439539539539506,0.0,0.0,3.436,3.3412452452452444,1.107,1.1681611611611615,601008.094,68.32348748783869,39.987,47.077908908908945,0.0,0.0,0.169,0.1746136136136137,0.0,0.0,2.757,2.802753753753755,0.861,0.9707277277277272,632598.665,65.91669169186699,40.167,43.89300400400399,0.0,0.0,0.152,0.1530490490490492,0.0,0.0,2.646,2.7754594594594546,0.945,1.012213213213213,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.001,0.0010000000000000005,0.0,0.0,0.0,0.0,1266575.892,475.40774374566234,136.49,277.1050050050049,0.002,0.001997997997997998,0.071,0.07002902902902905,0.0,0.0,0.763,0.7856166166166171,3.8390000000000004,4.379334334334335,638179.143,274.4770280279101,82.836,170.94805205205216,0.003,0.0029939939939939934,0.303,0.341532532532532,0.0,0.0,4.693,5.326077077077072,1.5739999999999998,1.6351251251251246,665343.945,254.7407157159536,82.768,159.10928528528535,0.004,0.003987987987987991,0.33,0.3574574574574572,0.0,0.0,4.708,5.3220580580580625,1.6079999999999999,1.7238658658658654,809998.666,339.6701141139887,102.666,215.16360760760782,0.0,0.0,0.382,0.3924684684684686,0.0,0.0,5.922,6.112028028028029,2.001,2.274395395395396,710561.512,210.39825425427327,82.405,140.73370870870866,0.002,0.0019979979979979972,0.313,0.3313623623623625,0.0,0.0,4.918,4.916192192192192,1.79,1.9409369369369374,600990.877,92.9648358365533,52.082,61.15843443443443,0.002,0.001997997997997998,0.276,0.30813213213213225,0.0,0.0,3.682,3.898774774774777,1.3519999999999999,1.4978398398398398,632582.577,92.24231331316801,50.939,58.629908908908924,0.002,0.001997997997997998,0.258,0.25368968968968975,0.0,0.0,3.616,3.722266266266267,1.496,1.614406406406407,113092.956,1.9359999999998392,0.044,1.9359999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.014,0.013817817817817813,0.0,0.0,0.0,0.0,1266512.956,795.0451091047253,182.751,467.0820810810805,0.013,0.012843843843843837,0.143,0.14069169169169174,0.0,0.0,1.062,1.0912472472472465,5.762,6.65535735735736,638137.484,452.4842282280793,114.527,267.0142852852855,0.005,0.004979979979979979,0.5,0.5445445445445446,0.0,0.0,6.614,7.198202202202211,2.47,2.7675795795795803,665303.302,433.70249849863166,113.342,258.7998358358358,0.006,0.005969969969969972,0.528,0.5497657657657655,0.0,0.0,6.686,7.701105105105113,2.553,2.774207207207205,809947.49,590.4603603604342,141.522,358.6521681681684,0.002,0.001997997997997999,0.606,0.6514154154154154,0.0,0.0,8.248,8.813309309309313,3.065,3.7431801801801794,710521.963,340.56019119099795,111.919,217.46990890890905,0.001,0.0010000000000000005,0.509,0.5424614614614613,0.0,0.0,6.777,6.912183183183185,2.6860000000000004,2.946272272272272,600968.964,136.639343343268,67.467,85.52443543543554,0.005,0.004979979979979983,0.435,0.44421921921921936,0.0,0.0,4.882,5.001077077077078,2.034,2.283781781781783,632561.703,131.24403503517178,65.258,77.40884484484488,0.008,0.007943943943943937,0.414,0.4130170170170171,0.0,0.0,4.847,5.06265365365366,2.213,2.4664694694694687,113092.353,29.706097097116142,0.644,29.232496496496488,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.009000000000000008,0.0,0.0
8,0.028,0.02924524524524525,0.0,0.0,0.0,0.0,1266430.337,1294.3197507491889,243.442,756.6372732732729,0.023,0.022493493493493475,0.307,0.3350860860860862,0.0,0.0,1.43,1.440540540540541,8.3,10.475953953953955,638080.742,786.5820180180569,157.673,450.58665765765767,0.012,0.01186786786786788,0.76,0.8692692692692687,0.0,0.0,9.126,10.55067467467468,3.674,4.211309309309311,665248.209,743.356675674439,155.141,434.4876066066065,0.012,0.011867867867867882,0.819,0.8811201201201186,0.0,0.0,9.184,10.508652652652668,3.7819999999999996,4.118916916916917,809878.563,994.8008318312193,193.772,589.6256416416418,0.007,0.006957957957957963,0.963,1.0927237237237246,0.0,0.0,11.427,13.139810810810811,4.585999999999999,5.364816816816816,710468.812,568.7774334340816,151.779,353.9521111111118,0.007,0.006957957957957969,0.816,0.8750190190190188,0.0,0.0,9.33,10.073173173173165,3.9789999999999996,4.53708408408409,600940.554,211.9730570565734,87.541,132.6830020020019,0.01,0.009909909909909897,0.643,0.648199199199199,0.0,0.0,6.412,6.680936936936942,3.0059999999999993,3.3801601601601594,632535.719,186.07611511512545,83.073,109.41108208208206,0.019,0.01865765765765766,0.609,0.616735735735736,0.0,0.0,6.331,6.824263263263263,3.1249999999999996,3.890149149149152,113090.723,139.4777487487496,2.197,127.07726826826814,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.05469369369369369,0.0,0.0
9,0.052,0.05134734734734735,0.0,0.0,0.0,0.0,1266321.338,2229.901657661968,323.381,1284.3541931931913,0.054,0.05313713713713706,0.584,0.6936376376376385,0.0,0.0,1.915,1.9517267267267282,11.853000000000002,15.111378378378385,638004.622,1393.2884044042871,215.348,785.3242202202212,0.021,0.020579579579579562,1.157,1.2816326326326313,0.0,0.0,12.537,14.845476476476472,5.311,6.43677177177177,665174.473,1302.5157867868083,210.808,767.2603963963957,0.02,0.019619619619619597,1.236,1.2575615615615627,0.0,0.0,12.651,15.33453353353352,5.4159999999999995,6.231213213213212,809785.963,1750.8725035049717,263.535,1034.0668418418413,0.018,0.019695695695695663,1.503,1.6836746746746751,0.001,0.0010000000000000002,15.74,18.4768768768769,6.667999999999999,8.160842842842834,710397.881,1004.383222222881,204.942,615.1417777777773,0.018,0.017693693693693693,1.223,1.2985695695695694,0.0,0.0,12.586,13.820424424424413,5.683,6.718573573573571,600904.055,324.95292792785625,113.679,197.05701601601606,0.03,0.031131131131131137,0.955,0.9459209209209212,0.0,0.0,8.22,8.297897897897897,4.067,4.582331331331334,632502.526,270.15547948051295,106.386,154.0370410410411,0.035,0.03581081081081079,0.91,0.8907907907907898,0.002,0.0019979979979979977,8.122,8.759875875875863,4.374,5.249691691691691,113086.871,459.0614204203947,5.801,398.17157057057057,0.0,0.0,0.0,0.0,0.0,0.0,0.079,0.27103003003003,0.004,0.0059899899899899965
