day,inc_case_mean,inc_case_var,inc_death_mean,inc_death_var,inc_death_hospital_mean,inc_death_hospital_var,age_0_S_mean,age_0_S_var,age_0_E_mean,age_0_E_var,age_0_H_mean,age_0_H_var,age_0_R_mean,age_0_R_var,age_0_D_mean,age_0_D_var,age_0_I_mean,age_0_I_var,age_0_IS_mean,age_0_IS_var,age_1_S_mean,age_1_S_var,age_1_E_mean,age_1_E_var,age_1_H_mean,age_1_H_var,age_1_R_mean,age_1_R_var,age_1_D_mean,age_1_D_var,age_1_I_mean,age_1_I_var,age_1_IS_mean,age_1_IS_var,age_2_S_mean,age_2_S_var,age_2_E_mean,age_2_E_var,age_2_H_mean,age_2_H_var,age_2_R_mean,age_2_R_var,age_2_D_mean,age_2_D_var,age_2_I_mean,age_2_I_var,age_2_IS_mean,age_2_IS_var,age_3_S_mean,age_3_S_var,age_3_E_mean,age_3_E_var,age_3_H_mean,age_3_H_var,age_3_R_mean,age_3_R_var,age_3_D_mean,age_3_D_var,age_3_I_mean,age_3_I_var,age_3_IS_mean,age_3_IS_var,age_4_S_mean,age_4_S_var,age_4_E_mean,age_4_E_var,age_4_H_mean,age_4_H_var,age_4_R_mean,age_4_R_var,age_4_D_mean,age_4_D_var,age_4_I_mean,age_4_I_var,age_4_IS_mean,age_4_IS_var,age_5_S_mean,age_5_S_var,age_5_E_mean,age_5_E_var,age_5_H_mean,age_5_H_var,age_5_R_mean,age_5_R_var,age_5_D_mean,age_5_D_var,age_5_I_mean,age_5_I_var,age_5_IS_mean,age_5_IS_var,age_6_S_mean,age_6_S_var,age_6_E_mean,age_6_E_var,age_6_H_mean,age_6_H_var,age_6_R_mean,age_6_R_var,age_6_D_mean,age_6_D_var,age_6_I_mean,age_6_I_var,age_6_IS_mean,age_6_IS_var,age_7_S_mean,age_7_S_var,age_7_E_mean,age_7_E_var,age_7_H_mean,age_7_H_var,age_7_R_mean,age_7_R_var,age_7_D_mean,age_7_D_var,age_7_I_mean,age_7_I_var,age_7_IS_mean,age_7_IS_var
0,0.0,0.0,0.0,0.0,0.0,0.0,1266188.849,547.1533523500491,495.061,484.42170070070165,0.0,0.0,0.0,0.0,0.0,0.0,15.041,15.739058058058063,0.0,0.0,638000.241,273.59851751738455,249.525,238.73811311311317,0.0,0.0,0.0,0.0,0.0,0.0,13.93,17.032132132132148,0.0,0.0,665153.624,291.55417817849997,259.665,261.9046796796794,0.0,0.0,0.0,0.0,0.0,0.0,14.724,15.413237237237235,0.0,0.0,809767.547,375.0848758759913,317.131,330.3301691691691,0.0,0.0,0.0,0.0,0.0,0.0,18.042,19.487723723723686,0.0,0.0,710352.255,335.96994494476564,276.573,290.3910620620619,0.0,0.0,0.0,0.0,0.0,0.0,15.564,17.07698098098097,0.0,0.0,600793.199,269.8932922925473,234.613,242.3335645645643,0.0,0.0,0.0,0.0,0.0,0.0,13.49,13.997897897897875,0.0,0.0,632370.732,274.1903663665063,246.464,244.73944344344366,0.0,0.0,0.0,0.0,0.0,0.0,14.04,13.439839839839818,0.0,0.0,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1265385.541,1875.3336526514056,1163.748,1462.6491451451432,0.0,0.0,1.983,2.1188298298298296,0.0,0.0,41.076,41.03125525525523,3.44,3.5719719719719687,637552.634,1012.6887327333393,629.494,799.2492132132129,0.0,0.0,1.808,1.9811171171171156,0.0,0.0,38.5,40.35435435435434,1.386,1.4804844844844869,664698.202,984.3735695698551,643.93,771.0601601601604,0.0,0.0,1.931,2.260499499499498,0.0,0.0,40.688,44.26492092092094,1.409,1.4892082082082074,809206.728,1370.9089249261203,791.333,1062.913024024024,0.0,0.0,2.403,2.5471381381381386,0.0,0.0,49.282,54.68115715715712,1.762,1.7591151151151159,709883.093,935.5539049047482,670.093,753.6860370370365,0.0,0.0,2.005,2.445420420420423,0.0,0.0,43.052,46.00129729729728,1.54,1.6500500500500495,600449.776,671.3832072055767,514.023,550.500971971971,0.0,0.0,1.712,2.0230790790790767,0.0,0.0,36.664,40.99810210210205,1.335,1.5182932932932929,632018.89,676.3582582578422,531.295,539.2532282282274,0.0,0.0,1.905,2.1501251251251245,0.0,0.0,38.21,38.39829829829831,1.358,1.3652012012012007,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1264156.311,5137.089368367769,2173.483,3889.0767877877856,0.0,0.0,7.392,8.006342342342338,0.0,0.0,81.311,82.15843743743729,13.489,14.316871871871877,636810.692,2922.4696056048497,1254.759,2145.594513513515,0.0,0.0,6.957,7.776927927927938,0.0,0.0,78.968,86.13711311311322,5.351999999999999,6.123923923923923,663957.131,2704.4723113103123,1264.909,2002.1048238238238,0.0,0.0,7.254,8.037521521521517,0.0,0.0,82.265,98.18495995996003,5.448,6.222620620620614,808285.72,3792.029629628503,1565.817,2854.742253253258,0.0,0.0,8.886,10.09509909909911,0.0,0.0,100.291,111.12944844844863,6.801,6.751246246246248,709139.543,2476.322473475452,1287.688,1878.6773333333324,0.0,0.0,7.725,8.850225225225238,0.0,0.0,86.417,97.30441541541549,5.898,6.497095095095098,599970.736,1334.0923963938908,893.281,1000.496535535535,0.0,0.0,6.511,7.833712712712705,0.0,0.0,70.901,73.4846836836836,4.945,5.400743743743748,631542.041,1337.7710900897755,904.231,990.3860250250256,0.0,0.0,6.878,7.496612612612625,0.0,0.0,73.552,81.07236836836843,5.26,5.425463463463461,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1262238.123,12972.37824924925,3743.432,9336.992368368376,0.0,0.0,18.158,19.6546906906907,0.0,0.0,143.457,151.60175275275287,33.727,37.84654154154156,635590.907,7354.805156156629,2278.741,5241.05697597597,0.0,0.0,17.283,19.73064164164164,0.0,0.0,145.438,157.49765365365386,13.399,14.543102102102102,662751.96,6944.246646646784,2271.441,4830.366885885893,0.0,0.0,18.266,19.442686686686717,0.0,0.0,149.15,177.34284284284277,13.891,15.696477477477458,806785.197,9511.753944942337,2821.235,6853.577352352327,0.0,0.0,22.079,25.04380280280277,0.0,0.0,182.984,212.25600000000009,16.859,17.76691791791792,707954.323,5830.737408406039,2268.274,4296.415339339331,0.0,0.0,19.001,21.590589589589584,0.0,0.0,155.416,160.14508908908908,14.859,16.624651651651646,599274.66,2528.0784784779207,1441.984,1858.037781781781,0.0,0.0,15.961,19.220699699699704,0.0,0.0,119.085,122.93871371371361,12.197,12.533352352352344,630868.03,2462.407507507964,1427.61,1688.6145145145163,0.0,0.0,16.404,17.954738738738723,0.0,0.0,122.886,139.99900300300317,12.818999999999999,14.446827827827805,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1259229.903,32090.774365367983,6204.847,22122.71030130132,0.0,0.0,36.989,42.44932832832835,0.0,0.0,239.109,272.27739639639606,69.83699999999999,77.22744244244234,633594.199,19034.08348248245,3950.459,13255.139458458452,0.0,0.0,36.482,40.98866466466466,0.0,0.0,254.006,291.05101501501497,28.534,32.794790790790756,660802.935,18029.800575574638,3893.356,12669.594858858854,0.0,0.0,37.769,42.92456356356356,0.0,0.0,257.552,326.0133093093095,29.346000000000004,33.14316916916916,804346.678,24174.859175170048,4855.99,17208.03193193195,0.0,0.0,46.143,55.79834934934932,0.0,0.0,317.038,372.4910470470467,35.911,40.742619619619624,706061.805,14139.310285285053,3832.721,10282.553712712697,0.0,0.0,39.567,48.40992092092089,0.0,0.0,262.957,286.16932032031997,30.979,36.84547247247247,598236.797,5153.919710711023,2261.83,3787.0141141141166,0.0,0.0,31.616,35.17171571571568,0.0,0.0,188.673,207.77584684684686,24.515,27.401350350350352,629886.717,4551.608519520448,2191.166,3195.9664104104118,0.0,0.0,32.594,35.68685085085086,0.0,0.0,192.003,207.00599699699737,25.682,28.9493293293293,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1254491.146,78487.5382222227,10083.241,53959.27018918909,0.003,0.002993993993993995,68.755,70.8638388388389,0.0,0.0,387.451,479.6332322322322,131.392,161.2559059059059,630351.915,48263.19496997547,6654.545,33315.96193693697,0.001,0.0010000000000000005,70.16,77.50790790790793,0.0,0.0,431.476,547.3607847847851,55.067,62.70711011011015,657663.156,43350.02769169325,6500.91,29686.408308308328,0.0,0.0,71.619,89.44128028028028,0.0,0.0,431.774,552.1951191191187,56.297999999999995,64.45989789789792,800400.865,59537.4722472446,8139.045,41972.355330330334,0.001,0.0010000000000000002,87.966,109.83067467467464,0.0,0.0,534.659,681.9486676676675,69.345,81.3751721721722,703033.534,34147.312156158376,6332.832,24367.785561561584,0.0,0.0,74.202,93.6408368368369,0.0,0.0,435.879,509.8021611611612,58.730999999999995,76.60427127127127,596661.652,10558.997893892365,3515.002,7497.825821821831,0.001,0.0010000000000000002,56.557,65.64039139139145,0.0,0.0,289.647,321.9623533533528,44.71,52.008246246246316,628434.269,8289.482121122901,3330.14,6044.629029029032,0.004,0.003987987987987987,57.785,61.42219719719716,0.0,0.0,289.765,327.7775525525526,46.006,51.63464064064065,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.01,0.009909909909909923,0.0,0.0,0.0,0.0,1247013.441,190646.6952142003,16204.992,128862.69262862869,0.018,0.017693693693693682,119.86,123.31971971971974,0.0,0.0,619.875,819.9673423423435,231.656,279.189815815816,625110.974,117008.22354753938,11010.951,79918.72332232227,0.005,0.004979979979979978,127.266,149.44068468468458,0.0,0.0,720.803,1083.391582582582,100.303,112.26202102102091,652614.915,103152.16393895012,10684.842,70036.91995595598,0.005,0.004979979979979981,128.634,160.73077477477457,0.0,0.0,713.199,1042.073472472474,101.896,122.05057257257246,794050.681,146526.63987886388,13410.72,102267.49109109076,0.002,0.001997997997997998,158.764,198.53483883883897,0.0,0.0,886.645,1307.6686436436428,125.521,152.10441741741732,698192.028,83983.69691291047,10329.249,58674.29529429433,0.003,0.002993993993993995,131.459,170.05036936936938,0.0,0.0,709.256,970.6611251251254,105.06,122.64430230230244,594234.319,23735.931170169315,5462.587,16495.576007006985,0.009,0.008927927927927926,95.135,113.7305055055055,0.0,0.0,438.767,538.1128238238235,75.83,87.84588388388393,626241.721,16892.49165065525,5063.546,12189.815699699693,0.017,0.01672772772772773,96.015,108.06684184184185,0.0,0.0,431.057,499.024775775776,76.863,94.96363663663665,113092.948,0.3396356356378313,0.052,0.339635635635636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.051,0.05044944944944944,0.0,0.0,0.0,0.0,1235203.119,474074.61945844005,25883.525,318792.9182932934,0.076,0.07229629629629634,201.6,216.49049049049046,0.0,0.0,983.913,1416.0374684684693,392.70000000000005,500.1364664664667,616683.419,283987.8973363388,18004.466,194444.45730130124,0.021,0.020579579579579566,222.851,274.53333233233195,0.0,0.0,1186.43,2054.7138138138102,176.71399999999997,211.62428628628638,644531.635,248408.5883633572,17374.113,167161.32155255237,0.025,0.02439939939939939,223.175,296.69306806806793,0.0,0.0,1164.206,1947.1467107107096,177.82500000000005,209.7419729729724,783873.63,366140.33343343943,21837.705,251169.87985485475,0.016,0.01575975975975976,275.481,339.8014404404405,0.0,0.0,1455.551,2767.310709709703,219.03200000000004,269.59455255255233,690482.525,207552.97234734974,16687.322,144350.4547707705,0.018,0.01769369369369368,224.888,289.3828388388386,0.0,0.0,1145.274,1839.936860860856,179.955,216.45784484484466,590466.641,51337.69981882016,8501.083,34964.376487487454,0.038,0.0385945945945946,153.316,185.22737137137122,0.0,0.0,666.701,902.0636626626625,123.351,146.5737407407408,622896.322,36051.87018618332,7728.095,25419.349324324332,0.058,0.05669269269269271,152.576,172.55277677677688,0.0,0.0,640.265,787.2480230230229,123.30199999999999,149.5946926926927,113092.684,2.016160160158756,0.313,1.9629939939939924,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0019979979979979977,0.0,0.0
8,0.197,0.2063973973973976,0.0,0.0,0.0,0.0,1216608.372,1154076.289905947,41115.398,774051.4330290309,0.234,0.22747147147147162,333.004,389.78376776776776,0.0,0.0,1557.616,2699.16771171171,648.874,858.427201201201,603247.354,695221.9646486442,29117.904,468677.42821221217,0.073,0.07774874874874858,379.765,482.6744494494489,0.0,0.0,1938.428,4205.904720720715,302.62800000000004,385.168846846847,631682.202,606328.5477437342,27976.784,407040.45579979866,0.063,0.07710810810810809,377.387,561.4907217217236,0.0,0.0,1889.314,3810.591995995996,302.45700000000005,383.21274174174164,767682.117,917113.7310420481,35209.372,626046.5121281276,0.079,0.08284184184184183,467.348,602.4773733733736,0.0,0.0,2367.537,5445.057688688699,373.79800000000006,473.6579959959958,678254.138,508035.9248808728,26754.691,351653.83935835754,0.077,0.08115215215215213,376.455,493.2912662662661,0.0,0.0,1840.183,3625.729240240244,302.42600000000004,374.2310610610607,584588.035,120489.78756255891,13265.231,82620.85449349342,0.113,0.12035135135135143,241.657,292.82017117117164,0.0,0.0,1015.739,1393.9708498498505,194.888,240.21375575575567,617745.335,83058.12489990375,11861.984,57930.312056056195,0.169,0.16260160160160161,237.574,261.56809209209234,0.001,0.0010000000000000013,953.812,1257.4200760760755,192.675,222.60320220220214,113091.473,11.630901901903316,1.484,10.718462462462467,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.027543543543543516,0.0,0.0
9,0.572,0.5733893893893891,0.001,0.0010000000000000013,0.001,0.0010000000000000013,1187457.885,2784632.684459437,64968.973,1864797.5778488505,0.581,0.5920310310310314,539.846,746.3846686686669,0.001,0.0010000000000000005,2461.04,5189.273673673678,1053.3780000000002,1561.6953733733728,582069.533,1659577.722633616,46559.279,1112140.8540130095,0.181,0.18442342342342347,635.299,949.7733723723721,0.0,0.0,3146.283,9105.722633633655,508.78200000000004,701.1174114114114,611455.94,1462066.925325312,44611.783,980385.5294404383,0.199,0.2156146146146148,628.34,953.5779779779785,0.0,0.0,3044.86,8032.829229229215,503.95,703.891877877878,742196.766,2236991.086330333,56175.391,1518396.8109299287,0.213,0.23386486486486474,780.259,1230.9428618618615,0.0,0.0,3826.216,11393.616960960975,625.2810000000001,811.9932682682689,658993.449,1249167.9093083022,42575.656,855314.0316956942,0.215,0.21498998998998994,620.311,864.4607397397411,0.0,0.0,2942.539,7466.61709609609,498.178,646.3421081081079,575390.767,288128.9256366297,20743.406,197151.05421821802,0.276,0.2801041041041043,376.438,458.33048648648634,0.002,0.0019979979979979977,1554.693,2367.4882392392433,304.29400000000004,387.23539139139143,609778.211,195954.18266166648,18286.341,135819.55427327333,0.398,0.42001601601601546,363.696,422.07365765765786,0.011,0.0108898898898899,1431.694,2050.544908908912,296.37199999999996,355.5075255255255,113087.687,45.9309619619802,5.073,40.1398108108108,0.0,0.0,0.003,0.002993993993993994,0.0,0.0,0.093,0.13848948948948955,0.0,0.0
