day,inc_case_mean,inc_case_var,inc_death_mean,inc_death_var,inc_death_hospital_mean,inc_death_hospital_var,age_0_S_mean,age_0_S_var,age_0_E_mean,age_0_E_var,age_0_H_mean,age_0_H_var,age_0_R_mean,age_0_R_var,age_0_D_mean,age_0_D_var,age_0_I_mean,age_0_I_var,age_0_IS_mean,age_0_IS_var,age_1_S_mean,age_1_S_var,age_1_E_mean,age_1_E_var,age_1_H_mean,age_1_H_var,age_1_R_mean,age_1_R_var,age_1_D_mean,age_1_D_var,age_1_I_mean,age_1_I_var,age_1_IS_mean,age_1_IS_var,age_2_S_mean,age_2_S_var,age_2_E_mean,age_2_E_var,age_2_H_mean,age_2_H_var,age_2_R_mean,age_2_R_var,age_2_D_mean,age_2_D_var,age_2_I_mean,age_2_I_var,age_2_IS_mean,age_2_IS_var,age_3_S_mean,age_3_S_var,age_3_E_mean,age_3_E_var,age_3_H_mean,age_3_H_var,age_3_R_mean,age_3_R_var,age_3_D_mean,age_3_D_var,age_3_I_mean,age_3_I_var,age_3_IS_mean,age_3_IS_var,age_4_S_mean,age_4_S_var,age_4_E_mean,age_4_E_var,age_4_H_mean,age_4_H_var,age_4_R_mean,age_4_R_var,age_4_D_mean,age_4_D_var,age_4_I_mean,age_4_I_var,age_4_IS_mean,age_4_IS_var,age_5_S_mean,age_5_S_var,age_5_E_mean,age_5_E_var,age_5_H_mean,age_5_H_var,age_5_R_mean,age_5_R_var,age_5_D_mean,age_5_D_var,age_5_I_mean,age_5_I_var,age_5_IS_mean,age_5_IS_var,age_6_S_mean,age_6_S_var,age_6_E_mean,age_6_E_var,age_6_H_mean,age_6_H_var,age_6_R_mean,age_6_R_var,age_6_D_mean,age_6_D_var,age_6_I_mean,age_6_I_var,age_6_IS_mean,age_6_IS_var,age_7_S_mean,age_7_S_var,age_7_E_mean,age_7_E_var,age_7_H_mean,age_7_H_var,age_7_R_mean,age_7_R_var,age_7_D_mean,age_7_D_var,age_7_I_mean,age_7_I_var,age_7_IS_mean,age_7_IS_var
0,0.0,0.0,0.0,0.0,0.0,0.0,1266362.942,413.0677037026321,340.664,373.93303703703737,0.0,0.0,0.0,0.0,0.0,0.0,24.378,24.045161161161182,0.0,0.0,638087.314,200.26767167204355,172.427,177.408079079079,0.0,0.0,0.0,0.0,0.0,0.0,4.141,4.267386386386387,0.0,0.0,665244.022,209.74125725804615,179.628,183.26488088088118,0.0,0.0,0.0,0.0,0.0,0.0,4.355,4.663638638638641,0.0,0.0,809880.497,265.89388488511787,217.154,230.28657057057086,0.0,0.0,0.0,0.0,0.0,0.0,5.31,5.325225225225227,0.0,0.0,710449.014,225.19099499530145,190.334,195.78623023023016,0.0,0.0,0.0,0.0,0.0,0.0,4.672,4.689105105105104,0.0,0.0,600875.507,187.41937037050346,161.49,164.71461461461473,0.0,0.0,0.0,0.0,0.0,0.0,3.951,4.086685685685677,0.0,0.0,632455.494,199.6335975977664,171.314,174.3978018018018,0.0,0.0,0.0,0.0,0.0,0.0,4.078,3.907823823823822,0.0,0.0,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1265955.729,809.8434024051661,650.098,662.3167127127123,0.0,0.0,0.969,0.8989379379379374,0.0,0.0,68.596,69.05183583583587,1.831,1.8202592592592595,637877.476,438.16558958939225,332.569,362.1994384384378,0.0,0.0,0.183,0.19170270270270293,0.0,0.0,11.834,10.977421421421418,1.405,1.4664414414414406,665027.111,414.3450240238737,344.745,346.82079579579647,0.0,0.0,0.165,0.17595095095095095,0.0,0.0,12.196,12.788372372372363,1.496,1.7096936936936933,809616.262,555.8371931940809,418.884,466.5611051051055,0.0,0.0,0.218,0.23070670670670684,0.0,0.0,14.698,14.403199199199213,1.832,2.0057817817817805,710218.361,440.1187977990743,366.0,356.0640640640638,0.0,0.0,0.18,0.18378378378378368,0.0,0.0,13.184,12.57071471471471,1.658,1.760796796796796,600684.204,380.8992832826566,306.267,320.4801911911915,0.0,0.0,0.149,0.15895795795795814,0.0,0.0,11.165,12.450225225225221,1.377,1.5364074074074079,632254.594,384.22538938967546,323.127,325.6044754754756,0.0,0.0,0.162,0.1739299299299298,0.0,0.0,11.637,11.734965965965959,1.391,1.5476666666666645,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1265519.046,1305.7676516503777,947.385,988.4312062062058,0.0,0.0,3.748,4.128624624624621,0.0,0.0,130.416,135.16611011010997,6.984,7.487309309309302,637648.775,684.062437438169,490.603,517.4288198198196,0.0,0.0,0.686,0.6600640640640643,0.0,0.0,22.42,21.657257257257285,5.444999999999999,5.343266266266271,664791.455,634.8768518526092,507.284,498.5999439439441,0.0,0.0,0.678,0.7090250250250251,0.0,0.0,23.107,24.24779879879879,5.7,6.2447167167167095,809327.51,867.7316316311222,618.365,684.700475475477,0.0,0.0,0.794,0.8263903903903903,0.0,0.0,28.21,29.315215215215193,6.987,7.674025025025026,709970.158,726.9920280272516,535.886,540.5495535535526,0.0,0.0,0.696,0.7603443443443432,0.0,0.0,24.929,24.242201201201166,6.151,6.600687687687678,600484.362,574.6996556556211,440.555,438.69166666666683,0.0,0.0,0.616,0.6572012012012006,0.0,0.0,21.122,22.423539539539558,5.14,5.303703703703704,632045.614,568.0350390389149,462.413,445.8803113113121,0.0,0.0,0.607,0.6171681681681687,0.0,0.0,22.041,23.05237137137137,5.3500000000000005,6.1606626626626655,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1265045.639,1954.4671461485957,1243.115,1360.7725475475474,0.0,0.0,9.059,9.607126126126118,0.0,0.0,207.241,210.0309499499499,16.438,18.671131131131123,637393.413,1019.3838148140429,653.754,704.0515355355346,0.0,0.0,1.579,1.5312902902902885,0.0,0.0,36.222,36.56928528528534,13.197000000000001,15.820391391391384,664530.568,949.2966726732756,673.155,666.4093843843838,0.0,0.0,1.611,1.741420420420421,0.0,0.0,37.198,39.003799799799815,13.490000000000002,15.809223223223237,809005.753,1260.226217218544,824.231,928.1417807807809,0.0,0.0,1.933,1.9945055055055034,0.0,0.0,45.593,44.46381481481486,16.672,18.994968968968987,709697.445,1028.1991741740924,708.259,728.534453453455,0.0,0.0,1.694,1.8101741741741766,0.0,0.0,39.854,40.48717117117114,14.592,17.001235235235235,600271.459,816.1464654655268,569.544,578.1762402402402,0.0,0.0,1.461,1.556035035035034,0.0,0.0,33.445,33.82279779779783,12.282,13.782620620620621,631824.84,809.1075075074391,595.757,551.6315825825828,0.0,0.0,1.476,1.4929169169169199,0.0,0.0,34.995,37.3723473473473,12.89,15.572414414414425,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1264521.904,2742.0568408432805,1549.139,1701.9296086086079,0.0,0.0,17.351,18.302101101101098,0.0,0.0,299.576,314.83505905905935,31.858999999999998,36.43636136136134,637103.914,1447.2278318331769,829.353,943.6100010010009,0.0,0.0,2.974,3.0043283283283273,0.0,0.0,52.904,51.910694694694705,25.067,29.70934434434432,664235.188,1314.383039038066,850.314,835.3087127127136,0.0,0.0,3.125,3.0844594594594636,0.0,0.0,54.369,54.142981981981926,26.039,31.07826526526524,808643.408,1635.1266626647812,1043.702,1118.7359319319319,0.0,0.0,3.78,3.9735735735735664,0.0,0.0,66.302,67.04183783783783,31.889,37.57907407407406,709392.323,1425.674345344923,889.314,919.5929969969961,0.0,0.0,3.277,3.539810810810808,0.0,0.0,57.523,62.35182282282277,27.905,34.33104404404402,600042.557,1051.0017527527966,697.61,701.3032032032029,0.0,0.0,2.808,3.0561921921921877,0.0,0.0,48.007,45.35030130130129,23.584999999999997,27.326271271271295,631589.922,1061.8357517515242,725.478,736.532048048048,0.0,0.0,2.917,3.115226226226223,0.0,0.0,50.343,52.87222322322331,24.796,30.761553553553522,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1263941.246,3522.143627627193,1870.736,2058.260564564563,0.007,0.006957957957957959,29.209,29.977296296296295,0.0,0.0,407.487,465.45728828828817,53.56999999999999,67.35759159159154,636774.31,1973.8077077075884,1022.578,1187.305221221225,0.001,0.0010000000000000005,5.127,5.352223223223226,0.0,0.0,72.42,72.02762762762771,42.531,53.094291291291256,663900.84,1749.8222222215622,1043.774,1067.798722722724,0.001,0.0010000000000000013,5.358,5.539375375375365,0.0,0.0,74.312,76.99965565565573,44.45,54.780722722722714,808232.129,2289.0514104101876,1282.33,1467.999099099097,0.003,0.002993993993993993,6.363,6.832063063063062,0.0,0.0,90.82,92.50410410410392,53.884,63.91447847847838,709048.79,1829.2451451479312,1085.275,1128.9242992993004,0.002,0.0019979979979979994,5.621,5.935294294294291,0.0,0.0,78.446,86.41950350350355,47.109,56.48170470470467,599795.396,1353.118302302754,826.633,888.3266376376373,0.004,0.003987987987987987,4.831,5.493932932932936,0.0,0.0,64.59,65.37727727727723,39.636,53.367569569569575,631337.852,1347.5516476506602,854.418,851.2945705705706,0.005,0.004979979979979977,4.952,5.1128088088088095,0.0,0.0,67.958,69.80203803803806,41.524,54.3814314314314,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.023,0.022493493493493496,0.0,0.0,0.0,0.0,1263290.742,4479.831267268541,2220.514,2541.7295335335375,0.025,0.02439939939939938,45.602,47.731327327327335,0.0,0.0,530.337,592.0995305305315,82.66300000000001,103.67845545545549,636396.828,2630.452868868856,1237.381,1471.2851241241262,0.016,0.015759759759759764,8.15,8.868368368368385,0.0,0.0,95.182,96.147023023023,66.183,88.07969269269267,663520.654,2380.606890889737,1257.336,1358.1372412412386,0.01,0.009909909909909908,8.429,8.823782782782787,0.0,0.0,97.842,101.27030630630631,69.074,90.3711851851851,807762.089,3083.6807597606585,1548.616,1833.0756196196169,0.02,0.01961961961961966,10.143,11.119670670670658,0.0,0.0,119.414,123.67027427427428,83.657,104.48253753753752,708660.459,2377.2655845848462,1299.264,1389.992296296297,0.016,0.017761761761761734,8.925,9.176551551551544,0.0,0.0,102.774,111.92685085085103,73.19800000000001,92.41292692692693,599526.336,1657.6968008006431,960.783,1052.4483593593607,0.026,0.02735135135135135,7.487,7.845676676676676,0.001,0.001000000000000001,83.45,80.86436436436438,60.918,79.14372372372372,631066.381,1686.3041431459385,986.027,977.6118828828834,0.042,0.042278278278278326,7.742,7.506942942942946,0.001,0.0010000000000000013,87.238,91.15250850850867,63.768,82.08275275275282,113092.738,3.136492492493146,0.262,3.1364924924924895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.143,0.1486996996996998,0.002,0.001997997997997995,0.002,0.001997997997997995,1262566.165,5583.62339839415,2596.286,2882.903107107112,0.102,0.10970570570570576,67.509,72.56848748748742,0.0,0.0,670.71,770.0639639639651,119.737,151.75567867867863,635964.452,3346.486182182165,1478.595,1699.4524274274277,0.065,0.07484984984984985,12.52,13.75735735735735,0.001,0.0010000000000000005,121.652,131.0419379379379,96.77000000000001,133.9532152152152,663087.212,3181.614670673804,1496.121,1782.06041941942,0.06,0.0644644644644645,12.902,14.032428428428439,0.0,0.0,124.535,133.9947697697699,100.652,128.07600600600605,807225.416,4065.5945385384025,1845.972,2209.9211371371416,0.062,0.060216216216216305,15.601,15.929728728728737,0.0,0.0,152.466,159.18603003002997,121.988,156.16151951951954,708221.95,3027.2487487495446,1535.721,1681.5406996997,0.081,0.08252152152152141,13.679,13.625584584584574,0.001,0.0010000000000000002,130.465,133.4021771771773,106.536,129.88471871871872,599233.98,1992.2518518513152,1100.61,1199.277177177179,0.096,0.10889289289289297,11.265,12.014789789789791,0.001,0.001000000000000001,104.093,103.74809909909914,87.732,117.32505905905907,630772.461,2121.1556346348684,1122.636,1187.7752792792796,0.182,0.20107707707707717,11.566,11.74739139139138,0.007,0.006957957957957951,108.687,114.23326426426429,91.58299999999998,118.06542842842848,113090.853,31.600991991993155,2.109,30.247366366366354,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.003987987987987986,0.0,0.0
8,0.573,0.6152862862862865,0.008,0.007943943943943953,0.008,0.007943943943943953,1261750.931,7092.256495490282,3013.877,3494.1560270270134,0.278,0.30502102102102124,95.805,96.86183683683686,0.001,0.0010000000000000002,828.057,961.2590100100099,166.034,227.8075255255257,635468.196,4396.768352352857,1751.035,2110.2280030030033,0.181,0.1724114114114116,18.404,20.733517517517495,0.003,0.0029939939939939942,152.037,166.1277587587585,134.80399999999997,187.61716316316327,662592.15,4007.322822823397,1764.378,2127.592708708706,0.178,0.2045205205205205,19.118,21.27735335335338,0.002,0.0019979979979979985,155.458,171.52976576576563,139.81699999999998,184.56807107107113,806611.615,5197.187962963765,2180.149,2741.8686676676675,0.195,0.20718218218218215,23.28,24.590190190190242,0.0,0.0,190.437,195.34737837837844,170.053,223.92179279279287,707726.209,3747.723042042004,1797.452,1986.9326286286273,0.224,0.23405805805805802,20.23,19.596696696696668,0.005,0.004979979979979978,162.185,174.24101601601626,147.82399999999998,192.24157157157157,598912.133,2365.8932042043134,1251.862,1322.2772332332336,0.27,0.2673673673673675,16.436,17.473377377377364,0.011,0.012891891891891894,126.98,131.5931931931932,120.394,159.89041641641626,630452.695,2552.3943693682136,1266.767,1417.1758868868872,0.47,0.5516516516516503,16.861,17.995674674674692,0.059,0.0615805805805806,132.016,141.25299699699676,125.55799999999999,165.2934674674675,113082.878,156.974090090105,9.83,146.7398398398398,0.0,0.0,0.001,0.0010000000000000002,0.0,0.0,0.052,0.06335935935935934,0.001,0.001000000000000001
9,1.558,1.6683043043043047,0.071,0.07603503503503496,0.071,0.07603503503503496,1260837.258,8692.357793793539,3472.479,3922.5781371371395,0.528,0.5517677677677689,131.969,129.8799189189188,0.003,0.0029939939939939916,1005.452,1207.3770730730728,221.48800000000003,306.5500600600599,634900.696,5738.095679681014,2059.092,2607.961497497491,0.4,0.3923923923923927,26.755,28.817792792792797,0.007,0.006957957957957956,187.006,203.7657297297298,181.473,252.37846746746752,662029.653,5115.227818818373,2064.23,2489.2843843843884,0.369,0.3972362362362364,27.83,30.881981981981934,0.006,0.005969969969969971,190.496,206.9169009009007,187.54900000000004,251.89196896896883,805911.763,6747.0578888882865,2556.993,3287.646597597598,0.389,0.3960750750750748,34.079,37.612371371371424,0.005,0.004979979979979979,233.474,236.87019419419414,228.526,293.77607607607615,707164.265,4666.703478477835,2090.878,2314.371487487486,0.438,0.47863463463463435,29.433,28.225736736736735,0.016,0.015759759759759757,198.048,214.4541501501499,197.625,265.73490390390384,598558.682,2849.362238237775,1414.049,1431.2338328328306,0.524,0.5880120120120115,23.657,25.412763763763788,0.043,0.045196196196196206,152.108,158.6229589589592,159.133,219.96343643643644,630105.404,3067.324108107338,1418.801,1634.5659649649692,0.931,1.1674064064064054,24.01,25.297197197197224,0.183,0.22373473473473468,157.747,166.71570670670658,165.887,221.65716216216236,113060.751,543.9949939939387,30.687,488.25128228228243,0.0,0.0,0.004,0.003987987987987989,0.0,0.0,0.261,0.3752542542542541,0.015,0.016791791791791785
