day,inc_case_mean,inc_case_var,inc_death_mean,inc_death_var,inc_death_hospital_mean,inc_death_hospital_var,age_0_S_mean,age_0_S_var,age_0_E_mean,age_0_E_var,age_0_H_mean,age_0_H_var,age_0_R_mean,age_0_R_var,age_0_D_mean,age_0_D_var,age_0_I_mean,age_0_I_var,age_0_IS_mean,age_0_IS_var,age_1_S_mean,age_1_S_var,age_1_E_mean,age_1_E_var,age_1_H_mean,age_1_H_var,age_1_R_mean,age_1_R_var,age_1_D_mean,age_1_D_var,age_1_I_mean,age_1_I_var,age_1_IS_mean,age_1_IS_var,age_2_S_mean,age_2_S_var,age_2_E_mean,age_2_E_var,age_2_H_mean,age_2_H_var,age_2_R_mean,age_2_R_var,age_2_D_mean,age_2_D_var,age_2_I_mean,age_2_I_var,age_2_IS_mean,age_2_IS_var,age_3_S_mean,age_3_S_var,age_3_E_mean,age_3_E_var,age_3_H_mean,age_3_H_var,age_3_R_mean,age_3_R_var,age_3_D_mean,age_3_D_var,age_3_I_mean,age_3_I_var,age_3_IS_mean,age_3_IS_var,age_4_S_mean,age_4_S_var,age_4_E_mean,age_4_E_var,age_4_H_mean,age_4_H_var,age_4_R_mean,age_4_R_var,age_4_D_mean,age_4_D_var,age_4_I_mean,age_4_I_var,age_4_IS_mean,age_4_IS_var,age_5_S_mean,age_5_S_var,age_5_E_mean,age_5_E_var,age_5_H_mean,age_5_H_var,age_5_R_mean,age_5_R_var,age_5_D_mean,age_5_D_var,age_5_I_mean,age_5_I_var,age_5_IS_mean,age_5_IS_var,age_6_S_mean,age_6_S_var,age_6_E_mean,age_6_E_var,age_6_H_mean,age_6_H_var,age_6_R_mean,age_6_R_var,age_6_D_mean,age_6_D_var,age_6_I_mean,age_6_I_var,age_6_IS_mean,age_6_IS_var,age_7_S_mean,age_7_S_var,age_7_E_mean,age_7_E_var,age_7_H_mean,age_7_H_var,age_7_R_mean,age_7_R_var,age_7_D_mean,age_7_D_var,age_7_I_mean,age_7_I_var,age_7_IS_mean,age_7_IS_var
0,0.0,0.0,0.0,0.0,0.0,0.0,1265946.945,789.9299049044175,538.689,617.699978978979,0.0,0.0,0.0,0.0,0.0,0.0,222.705,276.7267017017018,0.0,0.0,637878.804,425.6292132134248,270.658,328.44948548548535,0.0,0.0,0.0,0.0,0.0,0.0,4.381,4.788627627627632,0.0,0.0,665026.239,412.35823723764526,282.502,303.6156116116119,0.0,0.0,0.0,0.0,0.0,0.0,4.769,4.912551551551549,0.0,0.0,809612.818,495.17204804811485,345.193,395.49524624624536,0.0,0.0,0.0,0.0,0.0,0.0,5.64,5.99039039039039,0.0,0.0,710215.244,453.7842482478856,302.115,354.2540290290291,0.0,0.0,0.0,0.0,0.0,0.0,5.071,5.2271861861861915,0.0,0.0,600677.948,348.7420380382828,256.2,294.18418418418406,0.0,0.0,0.0,0.0,0.0,0.0,4.206,4.169733733733735,0.0,0.0,632249.444,410.7335975970707,268.571,303.8808398398399,0.0,0.0,0.0,0.0,0.0,0.0,4.497,4.810801801801803,0.0,0.0,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,1264920.189,2098.7420210228875,1113.833,1467.2743853853858,0.0,0.0,12.799,14.463062062062056,0.0,0.0,581.705,696.7126876876874,3.186,3.1385425425425395,637294.906,1273.96713113088,628.319,784.5978368368363,0.0,0.0,0.26,0.2766766766766767,0.0,0.0,11.487,12.96279379379378,8.873,9.682553553553566,664430.069,1189.3856246241824,642.219,737.3383773773762,0.0,0.0,0.286,0.3125165165165164,0.0,0.0,12.26,12.236636636636634,9.257,10.42938038038038,808879.088,1512.0803363389227,789.549,1037.9835825825812,0.0,0.0,0.349,0.38958858858858914,0.0,0.0,14.863,15.529760760760764,11.182,13.384260260260259,709591.602,1187.0366326337983,672.865,831.642417417417,0.0,0.0,0.281,0.30634534534534574,0.0,0.0,13.158,13.860896896896904,9.616,11.323867867867877,600209.751,832.6016006002753,510.118,606.5646406406396,0.0,0.0,0.238,0.2576136136136132,0.0,0.0,10.962,10.50105705705706,8.266,8.860104104104103,631766.89,838.8167167168588,525.07,600.5096096096098,0.0,0.0,0.28,0.30190190190190175,0.0,0.0,11.531,11.694733733733731,8.53,9.766866866866868,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1263544.094,4020.091255258771,1844.592,2309.3649009008964,0.0,0.0,46.672,50.38079679679688,0.0,0.0,1079.178,1348.2866026026015,11.572,12.621141141141134,636425.718,2847.34782382387,1150.362,1499.6165725725732,0.0,0.0,0.926,0.9474714714714728,0.0,0.0,22.174,23.763487487487517,31.544,36.49069069069067,663556.896,2832.149333333001,1157.548,1645.3090050050077,0.0,0.0,1.058,1.0717077077077068,0.0,0.0,23.285,23.905680680680693,32.836,36.01695095095094,807798.99,3281.3252252246493,1430.767,1872.214925925924,0.0,0.0,1.189,1.2745535535535562,0.0,0.0,28.59,29.271171171171172,39.9,48.65084884884884,708694.415,2439.8946696749263,1192.236,1482.7510550550576,0.0,0.0,1.077,1.188259259259259,0.0,0.0,24.685,25.16694194194194,34.923,39.97292392392393,599606.21,1568.1120120125763,814.296,944.5569409409413,0.0,0.0,0.839,0.8599389389389396,0.0,0.0,20.255,18.20017517517519,29.487000000000002,31.211082082082093,631160.863,1589.1193503508,820.851,967.7545535535537,0.0,0.0,0.98,1.0986986986986977,0.0,0.0,20.962,21.950506506506482,31.147999999999996,35.60109709709711,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1261663.344,7257.232896895862,2835.821,3702.98394294293,0.0,0.0,109.359,114.40452352352334,0.0,0.0,1749.522,2189.5010170170112,26.819,29.71912612612612,635137.963,6124.4460770760315,1916.651,3191.8690680680697,0.0,0.0,2.246,2.3077917917917907,0.0,0.0,38.055,36.88085585585586,74.764,85.86006606606603,662283.74,5531.131531527826,1899.916,2728.6475915915967,0.0,0.0,2.385,2.5493243243243255,0.0,0.0,39.211,39.38186086086092,77.403,84.50744244244243,806211.277,6806.392663662257,2365.673,3690.8609319319376,0.0,0.0,2.787,2.946577577577582,0.0,0.0,48.39,48.081981981981926,94.745,105.45936636636631,707403.668,4670.494270270109,1932.919,2624.2627017016985,0.0,0.0,2.497,2.7667577577577633,0.0,0.0,41.293,41.13828928928926,82.675,94.81678378378373,598806.4,2525.357357357681,1212.03,1426.4275275275265,0.0,0.0,2.031,2.0280670670670684,0.0,0.0,32.12,30.722322322322356,68.75,76.55569369369368,630377.133,2556.157468467687,1194.172,1413.7781941941907,0.0,0.0,2.288,2.6076636636636663,0.0,0.0,32.931,34.706945945945954,72.352,80.16800200200197,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1259069.34,13287.61401401305,4211.453,6248.604395395407,0.0,0.0,210.782,214.8493253253257,0.0,0.0,2651.773,3562.0615325325357,51.547,55.52091591591586,633246.941,11839.344863861059,3028.326,5353.731455455455,0.0,0.0,4.436,4.522426426426421,0.0,0.0,61.462,60.36892492492499,148.62599999999998,162.9351611611612,660434.982,10164.031707707582,2969.27,4762.261361361355,0.0,0.0,4.583,4.896007007007012,0.0,0.0,62.555,64.40738238238241,153.405,166.13084984984997,803897.668,13372.762538538595,3713.072,6324.94375975976,0.0,0.0,5.635,6.049824824824822,0.0,0.0,77.039,74.99247147147145,187.71099999999998,205.24325825825824,705545.018,9048.796472470538,2992.405,4814.193168168175,0.0,0.0,4.929,5.197156156156153,0.0,0.0,64.894,66.52528928928928,161.88299999999998,182.3076546546546,597733.249,4256.763762762627,1750.136,2223.5510550550525,0.0,0.0,3.982,3.9996756756756726,0.0,0.0,47.688,47.01767367367372,130.534,143.4250850850851,629348.858,3931.251087086873,1685.938,2030.6688248248229,0.0,0.0,4.318,5.085961961961956,0.0,0.0,48.656,50.500164164164175,136.758,149.464924924925,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1255467.247,24877.299290305735,6129.927,11244.42609709709,0.374,0.3825065065065062,367.455,391.1090840840854,0.0,0.0,3884.82,5620.750350350374,85.695,94.63461161161162,630490.571,22910.401360362896,4634.203,9532.722513513518,1.029,1.135294294294294,15.65,17.975475475475445,0.0,0.0,95.535,96.85563063063067,258.334,282.0654934934936,657755.558,18894.14277878087,4511.246,8132.361845845827,1.033,1.0749859859859867,16.284,18.049393393393373,0.0,0.0,95.974,98.19151551551548,265.035,291.8083373373373,800538.272,26463.767783785323,5657.802,11352.709505505469,1.136,1.2607647647647646,19.932,22.05142742742745,0.0,0.0,119.278,126.36307907907917,325.37699999999995,359.2033883883887,702873.805,17007.1541291257,4509.184,8338.704848848844,1.154,1.201485485485485,17.02,21.330930930930904,0.0,0.0,98.842,94.78582182182174,278.102,309.1824644644644,596272.255,6915.615590589637,2497.666,3506.9574014014056,1.632,1.640216216216216,13.104,15.224408408408406,0.0,0.0,68.206,68.65822222222235,214.269,230.02051551551546,627980.207,6538.006157156906,2353.625,3174.5228978978907,2.518,2.648324324324322,12.951,16.05465365365365,0.0,0.0,68.659,73.35607507507511,222.47,239.03244444444454,113093.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,8.876,9.638262262262243,0.0,0.0,0.0,0.0,1250441.605,46125.200175197686,8834.482,19757.881557557608,1.661,1.7378168168168153,601.25,635.0185185185193,0.0,0.0,5571.567,8860.405916916941,131.70499999999998,142.64355655655658,626493.944,42125.04590991028,6945.21,16322.630530530496,3.555,3.718693693693697,41.571,43.31827727727729,0.001,0.001,144.899,150.104903903904,419.4669999999999,465.3809559559561,653898.45,35579.038538534005,6717.801,14463.83323223227,3.732,3.956132132132127,42.84,44.825225225225196,0.001,0.0010000000000000007,144.239,143.61149049049047,426.86,460.87006006006027,795682.797,51002.88667767649,8445.556,20544.68154554558,3.88,4.001601601601605,53.044,56.91497897897905,0.003,0.0029939939939939964,180.278,188.885601601602,525.186,596.195105105105,699043.664,32115.680784780947,6679.969,14706.120159159167,4.219,4.755794794794791,45.139,50.882561561561594,0.012,0.011867867867867872,147.329,137.21597497497493,443.96200000000005,493.3644344344343,594262.837,11400.99742842532,3543.313,5367.818849849846,5.805,5.700675675675676,34.198,35.586382382382354,0.024,0.025449449449449466,96.07,92.39349349349342,324.33,351.43876076076066,626137.014,10480.568372371416,3274.399,4752.886685685686,9.352,10.028124124124128,32.838,37.69144744744743,0.058,0.05869469469469471,94.674,96.7584824824824,332.70399999999995,348.38136336336356,112739.82,15767.499099099945,353.18,15767.499099099117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,23.942,25.107743743743725,0.099,0.09929829829829814,0.096,0.09487887887887882,1243400.023,87033.43390490582,12648.722,34040.24496096094,3.789,3.9304094094094113,937.889,1030.3870660660662,0.0,0.0,7907.926,15415.173697697666,194.049,213.29050550550554,620721.154,82322.21850250561,10256.242,30479.146582582587,8.1,8.32032032032032,88.811,97.56284184184189,0.005,0.004979979979979982,216.65,217.36886886886916,655.209,734.117872872874,648359.69,67454.14404404003,9864.143,25441.500051051098,8.612,8.495951951951948,90.881,93.92075975975968,0.005,0.00497997997997998,214.135,205.68846346346365,661.441,739.2984254254254,788704.156,100651.02869268614,12425.073,39228.564235235266,9.37,9.216316316316323,112.831,121.42386286286292,0.018,0.019695695695695688,268.383,268.626937937938,816.743,933.0891921921925,693567.361,61304.97965866639,9766.565,25721.481256256182,9.803,10.48667767767768,96.004,100.31830230230219,0.041,0.04136036036036038,216.899,198.1029019019019,681.116,758.8878538538532,591480.851,19508.655454453317,5010.374,8350.378502502517,13.156,13.595259259259254,71.594,76.6257897897899,0.1,0.10610610610610607,133.745,129.14512012012042,468.93500000000006,503.6088358358356,623629.469,16698.377416419204,4548.323,7771.612283283256,21.059,22.71623523523525,67.585,71.06784284284284,0.362,0.3653213213213214,129.378,131.2363523523524,474.85600000000005,513.0200180180177,111464.496,101952.28827227463,1511.012,83294.89274874872,0.0,0.0,0.0,0.0,0.0,0.0,3.854,5.996680680680673,0.0,0.0
8,44.091,46.709428428428424,0.432,0.4458218218218218,0.406,0.42158558558558523,1233510.269,167958.42106006196,18032.703,61499.03182282243,7.021,7.293852852852862,1419.287,1692.3649959959944,0.002,0.001997997997997995,11160.773,25611.9113823823,278.693,302.5517507507508,612428.025,153123.2696446418,14975.137,53268.66089189203,15.978,15.238754754754762,167.421,183.27703603603598,0.02,0.019619619619619617,321.046,337.9198038038035,999.52,1170.6505205205217,640442.512,128615.42327929618,14332.462,45516.58514114114,16.815,16.569344344344337,170.988,184.72458058058095,0.02,0.019619619619619624,314.791,318.81813713713717,998.3910000000001,1129.5824094094094,778716.63,196382.27337337684,18079.653,72869.02561661691,18.137,17.359590590590575,212.634,238.8909349349348,0.046,0.04592992992992988,394.515,402.09987487487473,1239.349,1471.795870870872,685758.466,117660.13097496223,14154.776,45718.70853253247,19.032,19.948924924924928,178.607,197.33188288288306,0.115,0.11989489489489506,316.757,293.23919019019,1019.8720000000001,1145.4403743743737,587601.903,33537.0466376374,7083.632,14017.417993994011,24.381,24.740579579579585,129.772,140.65867467467473,0.299,0.3259249249249253,185.065,184.15693193193184,664.211,705.7740570570569,620191.107,27467.20275375639,6329.186,11337.821225225187,38.814,42.2216256256256,121.189,125.48075975975995,0.967,0.9548658658658676,175.76,167.88228228228223,660.801,717.5212642642638,108566.078,334643.4854014007,3902.824,225655.04206606635,0.0,0.0,0.22,0.2358358358358358,0.0,0.0,20.04,36.98938938938938,7.63,16.389489489489513
9,71.65,67.70320320320319,0.938,0.9270830830830824,0.857,0.8534044044044037,1219611.924,322271.2835074665,25625.98,115018.03363363355,11.632,11.89647247247249,2100.841,2694.5602792792793,0.006,0.005969969969969975,15706.9,44878.0200200203,396.72200000000004,447.85559359359354,600604.745,292161.7537287445,21650.115,97406.4061811812,28.086,28.403007007006988,292.299,341.923522522522,0.044,0.04210610610610611,471.379,512.0033623623616,1500.3380000000002,1791.2938158158156,629178.602,250524.51010610376,20655.736,85584.70500900879,29.509,27.94786686686687,297.19,321.1210210210212,0.046,0.049933933933933895,457.857,469.94449549549574,1483.331,1674.120427427428,764495.103,377490.4067977998,26072.359,129503.6777967967,31.849,30.51271171171166,370.441,438.1566756756761,0.103,0.10049149149149139,576.164,630.6677717717716,1847.9170000000001,2201.9469819819815,674675.973,227508.79907005338,20343.581,82167.71515415433,33.085,32.958733733733744,308.689,346.92320220220233,0.288,0.29535135135135093,459.199,453.9073063063056,1503.164,1704.3883703703696,582188.769,60261.663302304165,9999.684,24339.91205605613,40.709,43.19951851851854,215.717,232.38329429429461,0.668,0.6944704704704703,255.839,269.0821611611609,927.08,1000.8290750750751,615448.602,46725.405001000254,8819.413,18807.686117117093,63.727,67.96843943943954,199.342,198.21525125125086,2.167,2.167278278278279,238.988,241.69354954954935,906.28,992.5984544544538,103218.256,813730.4769409323,7941.772,459918.6867027029,0.0,0.0,1.359,1.6157347347347328,0.0,0.0,61.993,129.10605705705706,46.946,120.2940180180181
